local;Mês;Ano;Índice_geral;1_Alimentação_e_bebidas;2_Habitação;3_Artigos_de_residência;4_Vestuário;5_Transportes;6_Saúde_e_cuidados_pessoais;7_Despesas_pessoais;8_Educação;9_Comunicação
São Paulo (SP);jan;2018;0,21;0,33;-0,89;0,17;-1,47;1,21;0,58;0,13;0,19;0,15
São Paulo (SP);fev;2018;0,50;-0,14;-0,64;0,20;-1,08;1,71;1,00;0,19;3,70;0,25
São Paulo (SP);mar;2018;0,72;0,45;-0,53;0,12;-1,19;1,59;1,53;0,41;4,08;-0,13
São Paulo (SP);abr;2018;0,82;0,06;-0,77;0,32;-0,18;1,71;2,65;0,40;4,16;-0,19
São Paulo (SP);mai;2018;1,02;0,57;-0,42;-0,30;0,55;1,42;3,03;0,51;4,19;-0,21
São Paulo (SP);jun;2018;2,14;2,69;1,43;-0,34;0,11;2,88;3,39;0,85;4,20;-0,19
São Paulo (SP);jan;2020;0,33;0,33;0,71;-0,46;-0,20;0,54;-0,11;0,54;0,13;0,18
São Paulo (SP);fev;2020;0,23;-0,34;-0,10;-0,28;-1,00;0,00;0,58;0,18;3,64;0,06
São Paulo (SP);mar;2020;0,09;1,38;0,13;-0,80;-0,21;-1,01;0,24;-0,26;0,58;0,28
São Paulo (SP);abr;2020;-0,37;1,95;-0,82;-0,69;0,83;-2,81;-0,21;-0,09;0,03;-0,14
São Paulo (SP);mai;2020;-0,28;-0,02;-0,11;0,77;-0,95;-1,30;-0,16;-0,03;0,04;0,38
São Paulo (SP);jun;2020;0,29;0,59;0,04;1,88;-0,25;0,15;0,66;-0,08;0,02;0,21
