local;Mês;Ano;Índice_geral;1_Alimentação_e_bebidas;2_Habitação;3_Artigos_de_residência;4_Vestuário;5_Transportes;6_Saúde_e_cuidados_pessoais;7_Despesas_pessoais;8_Educação;9_Comunicação;FID
São Paulo (SP);jan;2018;0.209999993443489;0.330000013113022;-0.889999985694885;0.170000001788139;-1.47000002861023;1.21000003814697;0.579999983310699;0.129999995231628;0.189999997615814;0.150000005960464;753
São Paulo (SP);fev;2018;0.5;-0.140000000596046;-0.639999985694885;0.200000002980232;-1.08000004291534;1.71000003814697;1;0.189999997615814;3.70000004768372;0.25;754
São Paulo (SP);mar;2018;0.720000028610229;0.449999988079071;-0.529999971389771;0.119999997317791;-1.19000005722046;1.5900000333786;1.52999997138977;0.409999996423721;4.07999992370605;-0.129999995231628;755
São Paulo (SP);abr;2018;0.819999992847443;0.0599999986588955;-0.769999980926514;0.319999992847443;-0.180000007152557;1.71000003814697;2.65000009536743;0.400000005960464;4.15999984741211;-0.189999997615814;756
São Paulo (SP);mai;2018;1.01999998092651;0.569999992847443;-0.419999986886978;-0.300000011920929;0.550000011920929;1.41999995708466;3.02999997138977;0.509999990463257;4.19000005722046;-0.209999993443489;757
São Paulo (SP);jun;2018;2.14000010490417;2.69000005722046;1.42999994754791;-0.340000003576279;0.109999999403954;2.88000011444092;3.39000010490417;0.850000023841858;4.19999980926514;-0.189999997615814;758
São Paulo (SP);jul;2018;2.77999997138977;3.78999996185303;4.21999979019165;0.140000000596046;-0.949999988079071;2.75;3.3199999332428;1.13999998569489;4.05999994277954;-0.0500000007450581;759
São Paulo (SP);ago;2018;2.90000009536743;3.80999994277954;4.92999982833862;0.670000016689301;-0.600000023841858;1.67999994754791;4.01999998092651;1.64999997615814;4.6100001335144;-0.0199999995529652;760
São Paulo (SP);set;2018;3.52999997138977;3.98000001907349;5.51999998092651;0.899999976158142;-0.5;3.50999999046326;4.34000015258789;2.28999996185303;5.05000019073486;-0.209999993443489;761
São Paulo (SP);out;2018;3.96000003814697;4.40999984741211;5.42999982833862;2.01999998092651;0.0500000007450581;4.55999994277954;4.51999998092651;2.63000011444092;5.07000017166138;-0.159999996423721;762
São Paulo (SP);nov;2018;3.64000010490417;4.42999982833862;4.57000017166138;2.50999999046326;-0.409999996423721;3.80999994277954;4;2.96000003814697;5.07999992370605;-0.330000013113022;763
São Paulo (SP);dez;2018;3.6800000667572;4.42999982833862;4.57000017166138;3.30999994277954;0.409999996423721;3.29999995231628;4.17999982833862;3.19000005722046;5.34000015258789;-0.349999994039536;764
São Paulo (SP);jan;2019;0.370000004768372;0.810000002384186;0.230000004172325;0.370000004768372;-0.839999973773956;0.389999985694885;0.25;0.560000002384186;0.170000001788139;-0.0199999995529652;765
